age,age-ch,education-num,education-ch,capital-gain,capital-gain-ch,capital-loss,capital-loss-ch,hours-per-week,hpwch
39,1,13,1,2174,0,0,0,40,1
50,0,13,0,0,0,0,1,13,0
38,1,9,1,0,0,0,0,40,0
53,0,7,0,0,1,0,1,40,1
28,1,13,1,0,1,0,0,40,1
37,1,14,1,0,1,0,0,40,1
49,1,5,1,0,0,0,0,16,0
52,1,9,0,0,0,0,0,45,0
31,0,14,0,14084,0,0,0,50,0
42,1,13,1,5178,1,0,1,40,1
37,0,10,0,0,1,0,1,80,1
30,0,13,1,0,1,0,0,40,1
23,0,13,1,0,0,0,1,30,0
32,1,12,1,0,1,0,1,50,1
40,0,11,0,0,1,0,1,40,0
34,1,4,1,0,0,0,1,45,1
25,1,9,1,0,0,0,1,35,0
32,0,9,0,0,0,0,1,40,0
38,1,7,0,0,0,0,1,50,0
43,1,14,1,0,0,0,1,45,1
40,1,16,1,0,0,0,0,60,0
54,0,9,0,0,1,0,0,20,0
35,0,5,0,0,1,0,1,40,0
43,0,7,0,0,0,2042,0,40,1
59,1,9,1,0,0,0,0,40,1
56,1,13,0,0,0,0,0,40,1
19,0,9,0,0,1,0,1,40,1
54,0,10,1,0,0,0,0,60,0
39,0,9,0,0,1,0,1,80,0
49,1,9,1,0,1,0,1,40,0
23,0,12,0,0,1,0,1,52,1
20,1,10,0,0,0,0,0,44,0
45,1,13,1,0,1,1408,0,40,0
30,0,10,1,0,0,0,1,40,1
22,1,10,0,0,0,0,0,15,1
48,1,7,1,0,1,0,1,40,0
21,0,10,0,0,1,0,1,40,0
19,1,9,0,0,1,0,0,25,0
31,1,10,0,0,0,0,0,38,0
48,1,12,0,0,0,0,0,40,1
31,0,5,0,0,1,0,0,43,0
53,1,13,0,0,0,0,0,40,0
24,1,13,0,0,0,0,0,50,0
49,1,9,0,0,0,0,1,40,1
25,0,9,1,0,0,0,0,35,1
57,1,13,0,0,0,0,1,40,0
53,0,9,1,0,1,0,1,38,0
44,1,14,1,0,1,0,0,40,0
41,0,11,0,0,1,0,1,40,1
29,1,11,0,0,0,0,0,43,1
25,0,10,1,0,1,0,0,40,0
18,0,9,0,0,0,0,0,30,1
47,0,15,1,0,1,1902,1,60,0
50,1,13,0,0,0,0,0,55,0
47,0,9,1,0,1,0,0,60,0
43,1,10,1,0,1,0,0,40,0
46,1,3,0,0,1,0,1,40,1
35,1,11,0,0,1,0,1,40,1
41,0,9,1,0,0,0,1,48,1
30,1,9,0,5013,1,0,0,40,1
30,0,13,1,2407,0,0,0,40,1
32,0,4,0,0,1,0,1,40,0
48,1,9,0,0,1,0,0,40,1
42,0,16,1,0,1,0,0,45,1
29,1,10,1,0,0,0,0,58,1
36,1,9,1,0,1,0,1,40,0
28,0,10,0,0,0,0,1,40,0
53,1,9,0,0,0,0,0,40,0
49,0,10,1,0,1,0,0,50,0
25,1,10,1,0,1,0,1,40,0
19,1,10,0,0,0,0,0,32,0
31,1,13,1,0,1,0,1,40,0
29,1,13,1,0,1,0,0,70,1
23,1,10,1,0,0,0,1,40,0
79,1,10,0,0,1,0,1,20,0
27,1,9,1,0,0,0,1,40,1
40,0,12,0,0,0,0,0,40,1
67,1,6,1,0,0,0,1,2,1
